# Checker roster. Regenerated by scripts/checker_audit.sh --regen.
# Every uvm_error / uvm_fatal / uvm_warning site in tb/uvm, with the
# class a human assigned it. A new site arrives as '?', and '?' is a
# hard failure, so a site cannot enter the environment unclassified.
#
#   STRUCT   testbench wiring: a null interface, a missing config.
#            No RTL change can provoke one.
#   VACUOUS  detects ABSENCE. Provable by removing the stimulus.
#   INSTR    the instrument checking itself.
#   PROGARG  a bad plusarg or program argument.
#   REF      the reference model could not step.
#   DESIGN   a property of the DUT. The mutation-testable target.
#
#   mech     DESIGN rows only: the MECHANISM, because a site is not one.
#   mut      DESIGN rows only: the mutation that PROVED the mechanism
#            can fail. Empty means never shown able to fail, which is
#            a hypothesis. See docs/verification.md: a cell counts as
#            a proof only if a log contains the checker own words.
#
# file|id|fingerprint|class|mech|mut
tb/uvm/test/cpu_test_lib.sv|?|program did NOT terminate: results below d|VACUOUS||
tb/uvm/test/cpu_test_lib.sv|?|no +TRUNC_PC given, so nothing was truncat|STRUCT||
tb/uvm/test/cpu_test_lib.sv|RAL|no '%s'. csr_probe_if is BOUND into core a|STRUCT||
tb/uvm/test/cpu_test_lib.sv|RAL|hart %0d: back-door read of %s failed|INSTR||
tb/uvm/test/cpu_test_lib.sv|RAL|hart %0d: %s (csr 'h%03h) reads 'h%08h at |DESIGN|csr: reset value|
tb/uvm/test/cpu_test_lib.sv|RAL|hart %0d: %s.%s is declared RO with reset |DESIGN|csr: read-only field policy|m13
tb/uvm/test/cpu_test_lib.sv|RAL|hart %0d: %s mirror 'h%08h (predicted from|DESIGN|csr: predicted value vs hardware|
tb/uvm/test/cpu_test_lib.sv|RAL|the register model performed ZERO back-doo|VACUOUS||
tb/uvm/test/cpu_test_lib.sv|RAL|ZERO read-only fields were checked. mstatu|VACUOUS||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the atomics program but |PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the sharing program but |PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the contention program b|PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the machine-fill program|PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the byte-lane program bu|PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects the trap-in-LR/SC progra|PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|this test expects a litmus program but +HE|PROGARG||
tb/uvm/test/cpu_test_lib.sv|?|could not randomize cpu_timer_irq_vseq|STRUCT||
tb/uvm/seq/cpu_seq_lib.sv|CPU_VSEQ|not started on a cpu_vseqr|STRUCT||
tb/uvm/rvfi/rvfi_agent.sv|RVFI_AGENT|no virtual interface published under '%s'.|STRUCT||
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|no virtual interface for hart %0d|STRUCT||
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|hart %0d order not increasing: %0d after %|DESIGN|rvfi: retirement order|m19
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|hart %0d order GAP: %0d after %0d -- %0d r|DESIGN|rvfi: retirement order|m19
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|hart %0d retired %0d instructions and repo|VACUOUS||
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|hart %0d retired NOTHING -- tap not connec|VACUOUS||
tb/uvm/rvfi/rvfi_monitor.sv|RVFI_MON|hart %0d: rvfi_trap asserted on %0d slot(s|DESIGN|rvfi: trap without valid|m21
tb/uvm/cfg/cpu_cfg.sv|CPU_CFG|no program image: pass +HEX=<file>|STRUCT||
tb/uvm/cfg/cpu_cfg.sv|CPU_CFG|lat_min %0d > lat_max %0d|STRUCT||
tb/uvm/cfg/cpu_cfg.sv|CPU_CFG|randomize_latency=1 but the window is [0:0|STRUCT||
tb/uvm/cfg/cpu_cfg.sv|CPU_CFG|min_quiescence_samples=0: sb_coherence can|STRUCT||
tb/uvm/env/cpu_env.sv|CPU_ENV|no cpu_cfg. The TEST builds it and sets it|STRUCT||
tb/uvm/env/cpu_vseqr.sv|CPU_VSEQR|no cpu_cfg|STRUCT||
tb/uvm/env/cpu_vseqr.sv|CPU_VSEQR|mem_sq is null: cpu_env did not connect th|STRUCT||
tb/uvm/env/cpu_vseqr.sv|CPU_VSEQR|clint_sq is null: cpu_env did not connect |STRUCT||
tb/uvm/clint/clint_agent.sv|CLINT_AGENT|no cpu_cfg|STRUCT||
tb/uvm/clint/clint_agent.sv|CLINT_AGENT|no s0_vif published by tb_top|STRUCT||
tb/uvm/clint/clint_agent.sv|CLINT_AGENT|no irq_vif published by tb_top|STRUCT||
tb/uvm/clint/clint_driver.sv|CLINT_DRV|no s0_if virtual interface|STRUCT||
tb/uvm/clint/clint_driver.sv|CLINT_DRV|no irq_if virtual interface|STRUCT||
tb/uvm/clint/clint_driver.sv|CLINT_DRV|no cpu_cfg|STRUCT||
tb/uvm/clint/clint_driver.sv|CLINT_DRV|mtimecmp was never written: no timer inter|VACUOUS||
tb/uvm/clint/clint_monitor.sv|CLINT_MON|no s0_if virtual interface|STRUCT||
tb/uvm/clint/clint_monitor.sv|CLINT_MON|no irq_if virtual interface|STRUCT||
tb/uvm/clint/clint_monitor.sv|CLINT_MON|NO interrupt was ever delivered in this ru|VACUOUS||
tb/uvm/clint/clint_seqr.sv|CLINT_SEQR|no cpu_cfg|STRUCT||
tb/uvm/sys/sys_agent.sv|SYS_AGENT|no cpu_cfg|STRUCT||
tb/uvm/sys/sys_agent.sv|SYS_AGENT|no sys_vif published by tb_top|STRUCT||
tb/uvm/sys/sys_monitor.sv|SYS_MON|no sys_if virtual interface|STRUCT||
tb/uvm/sys/sys_monitor.sv|SYS_MON|no cpu_cfg|STRUCT||
tb/uvm/sys/sys_monitor.sv|SYS_MON|hart %0d wrote tohost (%08h). Only hart 0 |DESIGN|sys: tohost ownership|
tb/uvm/sys/sys_monitor.sv|SYS_MON|observed ZERO D-requests -- the tap is not|VACUOUS||
tb/uvm/sys/sys_monitor.sv|SYS_MON|no tohost store observed: the program neve|VACUOUS||
tb/uvm/sys/sys_monitor.sv|SYS_MON|program reported %08h, expected %08h (test|DESIGN|sys: the program's own verdict|m4,m13
tb/uvm/sys/sys_monitor.sv|SYS_MON|%0d tohost write(s) from a hart other than|DESIGN|sys: tohost ownership|
tb/uvm/snoop/snoop_agent.sv|SNOOP_AGENT|no cpu_cfg|STRUCT||
tb/uvm/snoop/snoop_agent.sv|SNOOP_AGENT|no snoop_vif. This interface is BOUND into|STRUCT||
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|no snoop virtual interface. It is BOUND in|STRUCT||
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|hart %0d granted while a transaction was s|DESIGN|snoop: ordering-point atomicity|
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|hart %0d granted while its previous transa|DESIGN|snoop: ordering-point atomicity|
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|hart %0d granted line %08h while hart %0d |DESIGN|snoop: ordering-point atomicity|
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|no req_installed within %0d cycles of comp|DESIGN|snoop: install timeout|
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|observed NO coherence transactions -- eith|VACUOUS||
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|ordering point self-reported %0d violation|DESIGN|coh: ordering-point self-report|
tb/uvm/snoop/snoop_monitor.sv|SNOOP_MON|%0d overlapping grants on one line or one |DESIGN|snoop: ordering-point atomicity|
tb/uvm/ral/csr_ral.sv|CSR_RAL|back door has no csr_probe_if -- the model|STRUCT||
tb/uvm/ral/csr_ral.sv|CSR_RAL|a machine CSR cannot be written through a |STRUCT||
tb/uvm/cov/cov_coherence.sv|COV_COH|no cpu_cfg|STRUCT||
tb/uvm/cov/cov_coherence.sv|COV_COH|no snoop_vif. The C1 equivalence check sam|STRUCT||
tb/uvm/cov/cov_coherence.sv|COV_COH|-- the C1 equivalence check reads|STRUCT||
tb/uvm/cov/cov_coherence.sv|COV_COH|ILLEGAL C1 cell on %s -- %s|DESIGN|coh: illegal C1 cell|
tb/uvm/cov/cov_coherence.sv|COV_COH|hart %0d issued %s implying it held %0d on|DESIGN|coh: state never granted|m6,m9
tb/uvm/cov/cov_coherence.sv|COV_COH|C1 equivalence check sampled NOTHING while|VACUOUS||
tb/uvm/cov/cov_coherence.sv|COV_COH|C1 EQUIVALENCE (INTENT): %0d request(s) wh|DESIGN|coh: C1 equivalence (two copies of the rule)|m9
tb/uvm/cov/cov_coherence.sv|COV_COH|C1 EQUIVALENCE: %0d request(s) that mesi_c|DESIGN|coh: C1 equivalence (two copies of the rule)|m9
tb/uvm/cov/cov_coherence.sv|COV_COH|ZERO completed coherence transactions were|VACUOUS||
tb/uvm/cov/cov_coherence.sv|COV_COH|transactions occurred but NO line ever cha|VACUOUS||
tb/uvm/cov/cov_core.sv|COV_CORE|no cpu_cfg|STRUCT||
tb/uvm/cov/cov_core.sv|COV_CORE|NUM_HARTS=%0d COMMIT_W=%0d, but the per-ha|STRUCT||
tb/uvm/cov/cov_core.sv|COV_CORE|no '%s'. Occupancy and recovery are bound |STRUCT||
tb/uvm/cov/cov_core.sv|COV_CORE|no snoop_vif: x_occ_snoop cannot be sample|STRUCT||
tb/uvm/cov/cov_core.sv|COV_CORE|coverage SELF-TEST reads %0.2f%%, not 100%|INSTR||
tb/uvm/cov/cov_core.sv|COV_CORE|sampled ZERO cycles: this model reported c|INSTR||
tb/uvm/cov/cov_core.sv|COV_CORE|every covergroup read 0.00%% after %0d sam|INSTR||
tb/uvm/cov/cov_core.sv|COV_CORE|get_coverage() now AGREES with get_inst_co|INSTR||
tb/uvm/cov/cov_isa.sv|COV_ISA|no cpu_cfg|STRUCT||
tb/uvm/cov/cov_isa.sv|COV_ISA|no '%s'. mcause, mstatus and the predictor|STRUCT||
tb/uvm/cov/cov_isa.sv|COV_ISA|coverage SELF-TEST reads %0.2f%%, not 100%|INSTR||
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d data access(es) OUTSIDE THE LINKED IMA|DESIGN|isa: access outside the linked image|
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d serialising retirement(s) (CSR / mret |DESIGN|isa: serialising op in commit slot 1|m11-INERT
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d retirements binned and NOT ONE in comm|VACUOUS||
tb/uvm/cov/cov_isa.sv|COV_ISA|AXI transactions contradict axi_adapter.sv|DESIGN|isa: AXI constants vs axi_adapter|
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d retirements and NOT ONE mispredict att|VACUOUS||
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d memory access(es) reported a byte mask|DESIGN|isa: malformed byte mask|
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d retirements binned and NOT ONE registe|VACUOUS||
tb/uvm/cov/cov_isa.sv|COV_ISA|%0d retirements and no same-word memory ha|VACUOUS||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|no cpu_cfg|STRUCT||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|no snoop_vif. This model samples the bus P|STRUCT||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|hart %0d: SC FAILED while its reservation |DESIGN|lrsc: SC legality|m1,m3
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|hart %0d: SC SUCCEEDED after its reservati|DESIGN|lrsc: SC legality|m1,m3
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|NO LR executed: nothing in this run exerci|VACUOUS||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|LR/SC ran, but NO snoop ever landed inside|VACUOUS||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|every SC succeeded: the reservation-loss p|VACUOUS||
tb/uvm/cov/cov_lrsc.sv|COV_LRSC|backing_off never asserted: the 6.9 livelo|VACUOUS||
tb/uvm/mem/mem_agent.sv|MEM_AGENT|no cpu_cfg|STRUCT||
tb/uvm/mem/mem_agent.sv|MEM_AGENT|no s1_vif published by tb_top|STRUCT||
tb/uvm/mem/mem_driver.sv|MEM_DRV|no s1_if virtual interface|STRUCT||
tb/uvm/mem/mem_driver.sv|MEM_DRV|no cpu_cfg|STRUCT||
tb/uvm/mem/mem_driver.sv|MEM_DRV|no program image: pass +HEX=<file>|STRUCT||
tb/uvm/mem/mem_driver.sv|MEM_DRV|'%s' loaded ZERO non-zero words -- file mi|STRUCT||
tb/uvm/mem/mem_driver.sv|MEM_DRV|served ZERO reads: the DUT never fetched a|VACUOUS||
tb/uvm/mem/mem_monitor.sv|MEM_MON|no s1_if virtual interface|STRUCT||
tb/uvm/mem/mem_monitor.sv|MEM_MON|B response for id=%0h with nothing outstan|DESIGN|axi: orphan response bookkeeping|
tb/uvm/mem/mem_monitor.sv|MEM_MON|R beat for id=%0h with nothing outstanding|DESIGN|axi: orphan response bookkeeping|
tb/uvm/mem/mem_monitor.sv|MEM_MON|id=%0h RLAST after %0d beats, AWLEN/ARLEN |DESIGN|axi: RLAST vs AxLEN|m14-REFUTED
tb/uvm/mem/mem_monitor.sv|MEM_MON|observed NO transactions -- the monitor is|VACUOUS||
tb/uvm/mem/mem_monitor.sv|MEM_MON|only one master reached memory {%0d, %0d} |VACUOUS||
tb/uvm/mem/mem_monitor.sv|MEM_MON|%0d orphan B, %0d orphan R responses|DESIGN|axi: orphan response bookkeeping|
tb/uvm/mem/mem_seqr.sv|MEM_SEQR|no cpu_cfg|STRUCT||
